latency_ms,rssi_dbm,snr_db,band,channel_util%,num_assoc_devices,client_speed_mbps,ap_vendor,protocol,distance_m
50.7,-67,12,2.4 GHz,67,8,72,Ubiquiti,ax,21.1
466.7,-40,52,2.4 GHz,23,13,150,Aruba,ax,10.2
81.8,-41,22,2.4 GHz,35,24,150,Ubiquiti,n,13.2
272.1,-55,38,2.4 GHz,93,8,72,Ubiquiti,n,28.3
88.5,-65,27,5 GHz,60,6,600,TP‑Link,ac,16.7
134.7,-58,34,2.4 GHz,32,23,72,Ubiquiti,n,29.6
95.0,-41,50,2.4 GHz,15,8,150,Aruba,ac,16.2
88.9,-74,21,2.4 GHz,42,21,433,Aruba,ac,6.6
119.2,-43,45,2.4 GHz,32,28,433,Cisco,n,24.4
137.6,-58,19,5 GHz,43,16,433,TP‑Link,n,26.0
113.8,-87,20,5 GHz,5,16,866,TP‑Link,ac,2.9
106.8,-49,6,2.4 GHz,47,21,300,TP‑Link,ac,8.5
64.9,-79,22,2.4 GHz,25,4,433,Cisco,ac,14.6
97.2,-62,34,2.4 GHz,96,3,433,Aruba,n,27.8
251.7,-38,36,2.4 GHz,28,6,72,Aruba,ac,26.8
63.1,-48,26,2.4 GHz,25,13,433,Ubiquiti,ac,20.3
121.4,-52,22,2.4 GHz,30,25,433,Cisco,ac,23.4
206.3,-87,16,2.4 GHz,61,18,72,Aruba,ac,6.0
138.3,-43,50,2.4 GHz,73,25,72,Aruba,ac,17.9
178.7,-72,24,2.4 GHz,30,12,150,Aruba,n,23.9
50.2,-88,20,2.4 GHz,69,24,300,Aruba,n,8.6
121.5,-38,52,5 GHz,13,21,300,Ubiquiti,ac,5.5
85.9,-80,36,2.4 GHz,19,3,150,TP‑Link,ax,18.8
88.1,-73,47,5 GHz,29,16,300,Aruba,ax,27.8
239.0,-83,24,2.4 GHz,70,19,150,Aruba,ac,29.3
89.0,-56,26,2.4 GHz,55,12,866,TP‑Link,ac,13.9
123.9,-43,41,5 GHz,46,23,433,Aruba,ac,15.1
33.6,-62,53,2.4 GHz,61,13,866,Ubiquiti,ax,19.5
272.0,-43,44,5 GHz,20,21,433,Cisco,ac,3.1
172.5,-39,28,5 GHz,27,21,433,Aruba,ac,17.2
99.4,-43,34,2.4 GHz,70,7,300,Aruba,ac,19.6
83.6,-82,22,2.4 GHz,98,2,150,Ubiquiti,ax,5.5
146.9,-79,27,2.4 GHz,1,26,150,Aruba,ac,25.2
204.8,-74,24,5 GHz,36,25,600,Cisco,n,17.0
274.2,-55,9,2.4 GHz,88,28,300,Aruba,ax,26.3
169.0,-43,48,5 GHz,83,2,150,TP‑Link,n,17.5
107.7,-73,11,2.4 GHz,26,21,300,Ubiquiti,n,10.6
184.9,-54,18,2.4 GHz,4,4,300,Cisco,ac,12.5
164.7,-80,17,2.4 GHz,57,15,600,TP‑Link,ac,28.7
108.0,-61,16,5 GHz,69,24,866,TP‑Link,ac,14.6
161.8,-48,29,5 GHz,26,8,866,Aruba,ac,16.2
160.0,-69,53,2.4 GHz,31,11,866,Cisco,ax,23.2
99.1,-82,21,2.4 GHz,67,15,600,TP‑Link,n,24.8
74.2,-68,41,2.4 GHz,54,14,866,TP‑Link,ac,27.8
151.6,-49,41,2.4 GHz,28,1,600,Cisco,ac,21.4
53.5,-39,43,5 GHz,83,11,72,TP‑Link,n,10.3
46.9,-57,36,2.4 GHz,90,25,150,TP‑Link,n,6.2
125.1,-54,42,5 GHz,72,3,300,Aruba,n,14.9
149.1,-67,43,2.4 GHz,94,11,600,TP‑Link,n,4.6
124.6,-39,39,5 GHz,36,18,600,Ubiquiti,ac,27.6
133.0,-43,32,5 GHz,11,12,866,Aruba,n,29.4
147.6,-37,9,5 GHz,73,20,72,Ubiquiti,ac,16.6
239.5,-43,30,5 GHz,56,8,433,Cisco,ac,3.1
170.8,-60,42,2.4 GHz,41,6,600,TP‑Link,ac,10.3
167.7,-38,22,5 GHz,26,27,300,TP‑Link,ac,12.9
119.3,-57,17,2.4 GHz,7,22,300,TP‑Link,ac,12.9
122.0,-57,34,2.4 GHz,17,9,433,Aruba,ax,21.7
94.2,-54,11,2.4 GHz,66,3,866,Cisco,n,29.5
130.6,-80,40,5 GHz,23,13,300,Cisco,ac,2.7
52.0,-44,54,5 GHz,93,23,300,Aruba,ac,29.0
240.2,-71,29,2.4 GHz,47,18,72,Cisco,ac,27.7
60.7,-54,6,5 GHz,9,21,150,Cisco,ac,26.0
170.6,-44,18,5 GHz,65,16,72,Cisco,n,14.2
221.9,-84,6,5 GHz,69,27,866,Aruba,ac,13.0
170.3,-74,27,2.4 GHz,18,4,866,Ubiquiti,n,15.4
362.0,-39,20,2.4 GHz,84,24,600,Cisco,ac,20.3
29.4,-71,43,2.4 GHz,74,29,150,Aruba,ac,9.4
77.1,-54,47,5 GHz,60,25,300,Aruba,n,13.2
219.7,-60,26,2.4 GHz,12,9,72,Aruba,ac,28.9
45.8,-43,53,5 GHz,49,28,866,TP‑Link,ac,4.1
61.9,-62,27,5 GHz,97,28,72,Ubiquiti,n,7.7
142.0,-67,10,2.4 GHz,24,25,433,Cisco,ac,3.2
106.9,-90,50,5 GHz,93,10,300,Aruba,n,18.6
136.6,-64,24,2.4 GHz,20,24,433,Cisco,n,16.6
112.6,-58,49,5 GHz,61,25,72,Cisco,n,3.8
119.0,-53,41,2.4 GHz,40,6,300,TP‑Link,ax,14.9
65.6,-48,51,5 GHz,7,8,600,Aruba,n,7.5
116.7,-48,37,5 GHz,64,22,866,Cisco,ac,20.1
80.4,-65,34,5 GHz,47,24,300,Aruba,ac,24.6
87.3,-86,16,2.4 GHz,32,19,433,Aruba,ac,5.0
169.2,-77,18,2.4 GHz,24,16,600,Aruba,ac,23.1
44.5,-68,21,5 GHz,49,28,433,Ubiquiti,ac,14.3
25.2,-37,20,5 GHz,11,10,300,TP‑Link,n,16.4
161.7,-48,34,5 GHz,60,21,866,Aruba,ac,14.6
116.8,-41,48,5 GHz,10,28,866,Cisco,ac,22.1
221.8,-36,6,5 GHz,21,8,150,Cisco,n,21.9
62.9,-83,35,2.4 GHz,51,3,72,TP‑Link,n,18.4
97.2,-90,42,5 GHz,74,5,600,Ubiquiti,n,8.3
109.4,-59,27,2.4 GHz,40,20,72,TP‑Link,n,12.6
70.6,-76,18,5 GHz,63,9,600,TP‑Link,ac,24.8
58.1,-43,26,2.4 GHz,93,21,600,TP‑Link,ax,10.8
166.7,-65,46,5 GHz,59,14,72,TP‑Link,ax,27.7
42.2,-90,50,2.4 GHz,75,25,433,Ubiquiti,n,10.1
52.6,-78,39,2.4 GHz,48,19,600,TP‑Link,ac,17.4
95.2,-72,29,5 GHz,26,18,72,Ubiquiti,n,19.1
178.8,-89,37,5 GHz,37,7,600,Ubiquiti,ac,6.7
73.4,-73,38,5 GHz,35,10,72,Aruba,n,15.8
67.8,-61,43,5 GHz,55,7,433,Aruba,ac,9.3
91.7,-41,12,2.4 GHz,15,2,72,Cisco,ac,8.7
128.9,-55,8,2.4 GHz,76,9,72,Aruba,ac,15.7
83.1,-85,22,5 GHz,16,28,600,TP‑Link,n,10.3
192.9,-68,17,5 GHz,70,24,72,TP‑Link,ac,18.6
198.0,-48,35,5 GHz,47,7,866,Ubiquiti,n,21.8
95.2,-70,31,2.4 GHz,74,11,72,Cisco,ac,22.4
303.4,-60,50,5 GHz,18,21,433,Cisco,ax,7.9
107.9,-36,43,2.4 GHz,21,3,300,TP‑Link,n,11.4
193.9,-83,12,5 GHz,25,21,433,Cisco,ac,29.2
126.7,-64,47,2.4 GHz,78,16,433,Ubiquiti,ac,27.6
125.3,-57,43,2.4 GHz,27,21,433,Cisco,ac,27.8
37.1,-47,24,2.4 GHz,34,1,433,TP‑Link,ac,19.0
50.0,-44,7,5 GHz,14,28,866,Cisco,ac,17.7
85.8,-75,44,5 GHz,24,20,433,Cisco,ac,16.9
197.1,-65,14,5 GHz,85,5,866,Ubiquiti,ac,22.4
127.9,-45,16,2.4 GHz,13,25,300,TP‑Link,n,3.3
86.3,-44,28,5 GHz,91,1,433,Ubiquiti,n,6.5
150.0,-45,9,2.4 GHz,83,5,600,Ubiquiti,ac,9.6
192.6,-54,24,2.4 GHz,94,23,300,Ubiquiti,ac,20.0
103.7,-76,17,5 GHz,62,25,866,Cisco,n,9.4
118.6,-70,7,2.4 GHz,68,3,150,TP‑Link,ac,5.9
109.4,-54,50,2.4 GHz,84,20,600,TP‑Link,ac,4.7
99.7,-77,18,2.4 GHz,71,24,150,Cisco,ac,27.1
62.5,-53,32,5 GHz,56,3,600,Cisco,n,20.9
59.6,-62,45,2.4 GHz,42,3,600,Aruba,ax,13.8
149.5,-66,29,2.4 GHz,86,7,150,Ubiquiti,ac,4.8
194.9,-71,19,2.4 GHz,32,7,150,Aruba,ac,19.8
86.2,-48,42,5 GHz,56,7,866,Aruba,n,19.4
85.0,-65,39,2.4 GHz,6,23,433,TP‑Link,ac,2.2
32.2,-74,5,2.4 GHz,64,6,866,TP‑Link,ax,11.0
29.6,-69,45,2.4 GHz,14,16,866,TP‑Link,ax,23.5
226.0,-64,10,2.4 GHz,6,10,866,TP‑Link,n,26.2
65.0,-57,41,2.4 GHz,30,10,600,Aruba,n,9.1
377.6,-36,9,5 GHz,67,27,433,Aruba,ac,14.5
72.2,-72,8,2.4 GHz,82,10,866,Aruba,n,23.6
37.7,-81,11,2.4 GHz,60,7,150,Ubiquiti,n,18.7
109.9,-37,42,2.4 GHz,65,7,433,Aruba,ac,11.9
165.5,-82,27,2.4 GHz,24,27,300,Ubiquiti,n,29.2
154.3,-41,35,5 GHz,11,25,300,Aruba,ac,16.3
175.8,-83,19,5 GHz,12,16,150,Aruba,ac,19.5
55.1,-70,10,5 GHz,8,16,866,Aruba,n,16.1
222.7,-36,44,2.4 GHz,35,15,300,Aruba,ac,5.6
230.8,-81,46,2.4 GHz,75,18,72,Aruba,ac,17.3
237.0,-82,46,2.4 GHz,6,20,300,TP‑Link,ax,9.8
121.1,-57,8,2.4 GHz,35,2,300,Ubiquiti,n,2.7
82.1,-80,51,5 GHz,60,24,866,Aruba,ac,6.5
77.6,-89,32,2.4 GHz,6,22,600,Aruba,ac,27.9
37.6,-52,14,2.4 GHz,55,28,300,Aruba,ax,24.4
73.2,-38,14,5 GHz,40,13,600,Cisco,n,2.6
24.6,-49,30,2.4 GHz,91,1,300,Cisco,ac,19.1
35.0,-37,35,5 GHz,50,11,150,Cisco,n,18.5
120.4,-62,7,2.4 GHz,52,12,433,Cisco,ax,15.2
88.0,-57,29,5 GHz,85,18,433,Cisco,n,6.0
117.2,-36,16,5 GHz,73,6,150,TP‑Link,ac,28.2
157.8,-63,50,5 GHz,55,3,150,Cisco,ac,16.6
130.7,-88,35,2.4 GHz,66,5,72,Aruba,n,22.5
124.0,-77,23,2.4 GHz,40,20,300,Aruba,n,25.8
97.8,-56,26,2.4 GHz,70,5,600,Cisco,ac,29.0
63.5,-43,46,5 GHz,31,19,600,Aruba,ac,5.1
46.1,-57,39,2.4 GHz,32,21,150,Ubiquiti,ac,12.8
74.4,-68,24,2.4 GHz,83,17,433,Cisco,n,16.7
98.9,-73,46,2.4 GHz,42,2,150,Aruba,ac,18.2
106.7,-53,36,5 GHz,53,4,150,Cisco,ac,27.5
176.0,-41,7,2.4 GHz,12,25,433,Cisco,ac,15.5
93.4,-75,36,2.4 GHz,35,19,150,Ubiquiti,ac,23.5
144.0,-60,51,5 GHz,65,22,72,TP‑Link,ac,14.6
40.5,-67,48,5 GHz,53,28,150,Aruba,ac,12.8
121.4,-77,7,5 GHz,30,12,150,Ubiquiti,ax,9.3
116.2,-68,49,2.4 GHz,3,27,150,Ubiquiti,n,10.5
222.8,-86,54,2.4 GHz,55,13,433,Ubiquiti,ac,19.8
88.1,-61,13,2.4 GHz,35,27,866,TP‑Link,ac,3.6
85.8,-85,36,2.4 GHz,92,20,866,Aruba,ac,10.7
158.5,-64,42,2.4 GHz,5,7,433,TP‑Link,n,20.9
48.1,-41,7,2.4 GHz,68,1,150,TP‑Link,ac,4.5
119.5,-82,46,2.4 GHz,38,27,150,Aruba,ac,17.1
46.7,-77,24,2.4 GHz,27,12,300,TP‑Link,n,14.9
284.8,-51,19,5 GHz,71,26,600,Ubiquiti,ac,3.8
78.9,-41,17,2.4 GHz,51,6,433,TP‑Link,ax,4.1
45.0,-38,30,5 GHz,8,14,72,Ubiquiti,ac,18.8
74.0,-84,44,5 GHz,60,6,600,Aruba,n,16.8
119.9,-77,46,2.4 GHz,18,4,150,Ubiquiti,n,22.2
141.2,-36,16,2.4 GHz,85,16,433,Cisco,ac,19.5
215.6,-63,46,5 GHz,24,13,866,TP‑Link,ax,15.8
68.6,-45,46,5 GHz,79,8,600,Ubiquiti,ac,14.1
162.9,-90,8,2.4 GHz,33,10,433,Aruba,ac,10.9
35.0,-84,20,2.4 GHz,32,11,866,TP‑Link,n,3.1
52.8,-79,5,5 GHz,1,7,150,TP‑Link,n,4.2
41.1,-86,54,5 GHz,92,21,150,Aruba,ac,18.2
61.4,-42,28,5 GHz,55,9,150,Aruba,ac,18.2
158.4,-46,18,2.4 GHz,15,18,866,TP‑Link,ac,3.3
69.7,-69,49,5 GHz,4,22,866,TP‑Link,n,14.2
78.0,-86,39,2.4 GHz,28,10,150,Aruba,n,28.6
121.9,-85,52,2.4 GHz,49,2,150,Ubiquiti,n,7.3
137.6,-76,45,5 GHz,4,2,600,Ubiquiti,ac,23.5
79.5,-51,52,2.4 GHz,36,18,300,TP‑Link,n,16.2
52.6,-46,15,2.4 GHz,31,1,433,Cisco,ac,23.8
256.6,-61,15,5 GHz,87,4,150,Aruba,n,9.6
79.8,-41,8,5 GHz,41,15,433,Cisco,n,29.6
84.9,-39,22,5 GHz,11,9,600,Ubiquiti,n,12.1
91.7,-48,32,2.4 GHz,24,13,300,TP‑Link,ac,19.6
146.6,-86,33,2.4 GHz,82,21,600,Aruba,n,21.1
39.3,-42,38,2.4 GHz,2,24,433,Aruba,ac,20.5
318.5,-41,41,2.4 GHz,14,12,433,TP‑Link,ac,16.8
83.4,-60,45,2.4 GHz,2,3,150,Cisco,ac,20.9
149.7,-58,30,2.4 GHz,5,6,600,Aruba,ac,21.0
45.3,-48,18,2.4 GHz,92,25,300,Cisco,ac,22.7
114.4,-58,26,2.4 GHz,99,1,433,TP‑Link,n,22.3
288.6,-72,48,2.4 GHz,73,7,433,Ubiquiti,ac,20.8
264.0,-52,45,2.4 GHz,10,29,300,TP‑Link,ac,27.5
147.3,-47,50,2.4 GHz,70,11,300,Ubiquiti,ac,27.2
58.9,-83,32,5 GHz,77,1,150,Aruba,ax,3.2
208.7,-53,43,2.4 GHz,78,25,300,TP‑Link,n,29.5
34.9,-81,25,5 GHz,74,22,866,Ubiquiti,ac,24.2
57.6,-59,5,2.4 GHz,69,25,300,Ubiquiti,n,18.6
98.2,-85,42,5 GHz,44,20,72,Aruba,ac,19.0
36.5,-36,9,5 GHz,7,15,600,Ubiquiti,ac,12.9
73.9,-54,36,5 GHz,82,21,150,Ubiquiti,ax,14.1
165.0,-65,54,5 GHz,92,3,300,Ubiquiti,ac,12.6
65.2,-63,6,2.4 GHz,50,3,150,Aruba,ac,28.6
169.8,-56,41,2.4 GHz,43,18,433,Aruba,n,18.7
371.1,-84,48,5 GHz,91,14,150,Ubiquiti,n,6.4
130.9,-62,36,2.4 GHz,45,23,866,Cisco,ac,23.6
168.0,-51,39,5 GHz,37,28,300,Ubiquiti,n,21.4
213.1,-76,50,5 GHz,88,8,72,TP‑Link,ac,19.7
78.3,-64,43,2.4 GHz,92,10,433,Ubiquiti,ac,9.4
165.5,-72,6,2.4 GHz,21,6,150,Ubiquiti,ac,19.3
77.1,-82,43,5 GHz,28,24,300,TP‑Link,n,24.9
125.3,-37,42,5 GHz,31,15,866,Ubiquiti,ac,6.7
181.1,-58,16,5 GHz,16,10,150,TP‑Link,ac,17.3
60.5,-69,37,5 GHz,85,22,600,Cisco,n,7.9
25.4,-72,47,2.4 GHz,97,14,600,Aruba,n,17.5
57.1,-53,47,2.4 GHz,52,15,300,Ubiquiti,ac,20.0
197.8,-85,48,2.4 GHz,71,25,300,Cisco,ac,24.7
52.9,-59,43,2.4 GHz,42,7,72,Cisco,ac,16.0
191.1,-78,11,5 GHz,99,20,300,Aruba,ax,28.1
57.3,-42,29,5 GHz,95,26,433,TP‑Link,ac,27.5
89.8,-47,16,5 GHz,75,26,433,Aruba,ax,24.9
102.5,-49,8,2.4 GHz,88,26,600,Ubiquiti,ax,17.5
52.8,-82,18,2.4 GHz,14,7,866,Cisco,n,7.3
90.5,-86,50,2.4 GHz,88,20,300,Aruba,n,20.2
37.7,-65,34,2.4 GHz,43,17,866,TP‑Link,ac,21.8
82.7,-71,43,2.4 GHz,22,3,866,TP‑Link,ax,15.8
97.3,-51,30,2.4 GHz,93,16,150,Ubiquiti,ac,29.1
25.8,-51,22,2.4 GHz,84,7,150,Cisco,n,4.7
56.8,-69,29,2.4 GHz,14,16,433,Ubiquiti,n,25.9
122.9,-82,54,5 GHz,66,18,300,Ubiquiti,ax,27.3
49.3,-73,19,5 GHz,88,21,300,Ubiquiti,n,19.6
135.7,-63,20,2.4 GHz,69,23,72,Cisco,ax,26.9
144.0,-77,47,5 GHz,48,17,600,Aruba,ac,7.9
122.6,-73,23,2.4 GHz,5,14,433,TP‑Link,ax,11.7
164.3,-77,50,2.4 GHz,50,29,150,Aruba,n,7.1
36.4,-87,53,5 GHz,56,9,866,Cisco,ax,10.8
186.2,-57,8,2.4 GHz,84,9,866,Aruba,ac,6.6
53.3,-36,38,5 GHz,22,26,72,Cisco,ac,6.6
109.9,-38,9,2.4 GHz,21,28,433,TP‑Link,n,2.9
281.6,-39,48,2.4 GHz,92,12,433,Aruba,n,22.9
81.6,-54,10,2.4 GHz,83,25,150,TP‑Link,n,10.5
104.1,-49,49,2.4 GHz,56,27,150,Cisco,ac,19.1
53.5,-87,43,2.4 GHz,45,25,300,Ubiquiti,n,21.4
279.8,-79,31,2.4 GHz,62,16,300,Cisco,ac,20.8
56.9,-52,15,2.4 GHz,16,23,600,Cisco,n,28.1
151.8,-36,18,2.4 GHz,25,18,72,Cisco,ac,22.2
212.8,-41,26,2.4 GHz,54,2,433,Cisco,n,19.2
160.8,-56,47,5 GHz,42,4,433,Ubiquiti,ax,5.7
127.3,-85,49,5 GHz,18,28,600,Ubiquiti,n,2.6
108.8,-37,30,5 GHz,53,8,866,Cisco,ax,22.3
45.0,-73,16,5 GHz,65,6,300,Aruba,ac,26.3
272.2,-88,33,2.4 GHz,81,29,72,TP‑Link,n,18.8
120.9,-48,46,5 GHz,63,10,300,TP‑Link,ax,29.7
104.1,-81,32,5 GHz,61,21,150,TP‑Link,n,26.9
50.8,-74,49,5 GHz,56,23,433,Ubiquiti,ac,28.3
107.3,-53,5,5 GHz,12,14,150,Ubiquiti,ac,22.5
100.1,-37,30,5 GHz,39,19,72,Aruba,ac,29.0
281.6,-41,7,2.4 GHz,45,16,433,Aruba,n,18.8
